Country,World Bank Income Group,Region,Koppen Climate Classification of Capital City,Usage,Corruption & Governance Index,Health Spend Index,Education Index,Infrastructure Index,GDP per head,Climate Index,META-DATA E.coli per cent resistance 3rd gen ceph*,META-DATA E.coli per cent resistance FQs*,Average Ecoli Resistance to 3GCeph & FQ unstandardized,Average All Resistance Unstandardized,Logit of META-DATA E.coli per cent resistance 3rd gen ceph*,Logit of META-DATA E.coli per cent resistance FQs*,Logit of Average Ecoli Resistance unstandardized,Logit of Average All Resistance Unstandardized,Missing Usage,Missing: Data Not in ECDC database,Missing META-DATA E.coli 3rd gen ceph*,Missing META-DATA E.coli FQs*,
South Africa,Upper middle income,Sub-Saharan Africa,Steppe (semi-arid),8.7,-0.03,0.15,0.21,-0.23,-0.58,-0.39,8.2,16.1,12.14,31.05,-2.42,-1.65,-1.98,-0.80,0,1,0,0,
South Korea,High income,East Asia & Pacific,Mild temperate with dry winter,10.9,0.50,0.02,0.65,0.79,0.53,-0.22,24.4,40.9,32.66,32.84,-1.13,-0.37,-0.72,-0.72,0,1,0,0,
Spain,High income,Europe & Central Asia,Steppe (semi-arid),14.3,0.64,0.79,0.64,0.74,0.42,-0.59,12.0,34.5,23.25,17.45,-1.99,-0.64,-1.19,-1.55,0,0,0,0,
Sri Lanka,Lower middle income,South Asia,Tropical rain forest,3.9,-0.13,-0.81,0.28,-0.45,-0.65,1.25,58.9,58.8,58.85,52.76,0.36,0.36,0.36,0.11,0,1,0,0,
Sudan,Lower middle income,Sub-Saharan Africa,Desert (arid),,-2.00,-2.21,-2.32,-2.17,-0.99,0.53,49.5,56.8,53.13,38.42,-0.02,0.27,0.13,-0.47,1,1,0,0,
Sweden,High income,Europe & Central Asia,"Mild temperate, fully humid",4.8,1.81,1.65,0.70,0.93,1.08,-1.41,3.0,7.9,5.45,4.69,-3.48,-2.46,-2.85,-3.01,0,1,0,0,
Switzerland,High income,Europe & Central Asia,"Mild temperate, fully humid",5.2,1.85,1.30,0.57,0.78,1.64,-0.44,8.2,20.2,14.20,9.96,-2.42,-1.37,-1.80,-2.20,0,1,0,0,
Syrian Arab Republic,Lower middle income,Middle East & North Africa,Steppe (semi-arid),,-1.94,-1.20,-0.20,-0.14,-0.95,-0.58,49.8,28.0,38.88,38.88,-0.01,-0.94,-0.45,-0.45,1,1,0,0,
Thailand,Upper middle income,East Asia & Pacific,Tropical savannah with dry winter,7.0,-0.76,-0.23,0.35,-0.01,-0.43,1.13,37.9,52.5,45.19,29.11,-0.49,0.10,-0.19,-0.89,0,1,0,0,
Trinidad and Tobago,High income,Latin America & Caribbean,Tropical monsoon,,-0.32,-0.33,0.57,-0.20,0.37,1.55,9.4,,9.40,12.30,-2.27,,-2.27,-1.96,1,1,0,1,
Tunisia,Lower middle income,Middle East & North Africa,Mild temperate with dry summer,18.0,-0.54,0.01,-0.60,0.25,-0.66,-0.51,20.6,9.4,15.04,32.97,-1.35,-2.26,-1.73,-0.71,0,1,0,0,
Turkey,Upper middle income,Europe & Central Asia,Mild temperate with dry summer,18.5,-0.67,0.06,0.19,0.42,-0.22,-0.79,43.3,46.3,44.80,39.42,-0.27,-0.15,-0.21,-0.43,0,1,0,0,
United Arab Emirates,High income,Middle East & North Africa,Desert (arid),10.5,0.90,-0.43,0.21,0.88,2.10,-0.05,23.0,32.5,27.71,29.68,-1.21,-0.73,-0.96,-0.86,0,1,0,0,
United Kingdom,High income,Europe & Central Asia,"Mild temperate, fully humid",9.0,1.33,0.99,0.72,0.88,0.73,-0.48,9.6,17.5,13.55,9.93,-2.24,-1.55,-1.85,-2.21,0,0,0,0,
United States of America,High income,North America,"Mild temperate, fully humid",10.3,1.17,2.08,0.68,0.84,1.45,-0.88,14.6,33.3,23.95,21.74,-1.77,-0.69,-1.16,-1.28,0,1,0,0,
Uruguay,High income,Latin America & Caribbean,"Mild temperate, fully humid",6.6,-0.11,0.69,0.51,0.73,-0.20,0.24,,15.0,15.00,27.85,,-1.73,-1.73,-0.95,0,1,1,0,
Venezuela,Upper middle income,Latin America & Caribbean,Tropical savannah with dry winter,8.1,-0.84,-1.83,0.31,0.48,-0.36,1.40,12.5,37.2,24.85,32.48,-1.95,-0.52,-1.11,-0.73,0,1,0,0,
Vietnam,Lower middle income,East Asia & Pacific,Mild temperate with dry winter,9.4,-0.55,-0.05,0.36,-0.23,-0.92,1.15,64.0,,64.00,37.17,0.58,,0.58,-0.53,0,1,0,1,
Zambia,Lower middle income,Sub-Saharan Africa,Mild temperate with dry winter,,-0.44,-0.49,-0.63,-2.01,-1.02,0.30,37.4,50.5,43.95,35.73,-0.52,0.02,-0.24,-0.59,1,1,0,0,
Zimbabwe,Low income,Sub-Saharan Africa,Mild temperate with dry winter,,-0.68,-0.86,-0.43,-1.81,-1.12,-0.02,65.0,,65.00,35.33,0.62,,0.62,-0.60,1,1,0,1,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,7.86,0.00,0.00,0.00,0.00,0.00,0.00,24.05,34.22,29.72,29.63,-1.47,-0.79,-1.03,-1.00,,,,,
,,,,3.53,1.00,1.00,1.00,1.00,1.00,1.00,18.99,19.73,19.04,14.98,1.21,1.04,1.02,0.85,,,,,
